region,country,code,rank,score,total_population,gdp,social,health,freedom,generosity,corruption,dystopia,rank_old,score_old,gdp_old,social_old,health_old,freedom_old,corruption_old,generosity_old,score_change,gdp_change,social_change,health_change,freedom_change,generosity_change,corruption_change
Eastern Asia,Japan,JPN,58,5.886,127896740,1.327,1.419,1.088,0.445,0.069,0.14,1.68435,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,-0.101,0.05626,0.16188,0.09689,-0.05115,-0.03805,-0.0406
Sub-Saharan Africa,Mauritius,MUS,57,5.888,1241173,1.12,1.402,0.798,0.498,0.215,0.06,1.76145,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,0.411,0.11239,0.41679,0.0885,-0.06266,-0.16244,-0.01521
Latin America and Caribbean,Jamaica,JAM,56,5.89,2682469,0.831,1.478,0.831,0.49,0.107,0.028,2.32038,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,0.181,0.02062,0.32698,0.14359,-0.01442,-0.1053,0.00501
Central and Eastern Europe,Estonia,EST,55,5.893,1344312,1.237,1.528,0.874,0.495,0.103,0.161,1.58782,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,0.464,0.08526,0.30009,0.10039,0.04612,0.0162,0.00916
Eastern Asia,South Korea,KOR,54,5.895,,1.301,1.219,1.036,0.159,0.175,0.056,2.21978,47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,-0.089,0.05639,0.26126,0.07062,-0.17308,-0.01057,-0.02257
Central and Eastern Europe,Latvia,LVA,53,5.94,2301793,1.187,1.465,0.812,0.264,0.075,0.064,1.62215,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,0.842,0.07388,0.36938,0.08763,-0.03271,-0.10726,0.00068
Southeastern Asia,Thailand,THA,52,6.008,63002911,1.05,1.409,0.828,0.557,0.359,0.028,2.31945,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,-0.447,0.0831,0.14396,0.0895,0.00036,-0.2173,-0.00387
Middle East and Northern Africa,Kuwait,KWT,51,6.021,2700,1.5,1.319,0.808,0.493,0.142,0.097,1.87634,39,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,-0.274,-0.05422,0.15306,0.08308,-0.06199,-0.02028,-0.15909
Latin America and Caribbean,Ecuador,ECU,50,6.028,13060993,0.912,1.312,0.868,0.498,0.126,0.087,2.53942,48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,0.053,0.04798,0.31297,0.07725,0.01226,0.01059,-0.0939
Western Europe,Cyprus,CYP,49,6.046,836321,1.263,1.223,1.042,0.406,0.19,0.041,1.88931,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,0.357,0.05487,0.32982,0.11844,-0.00072,-0.11638,-0.02046
Central and Eastern Europe,Romania,ROU,48,6.07,21627557,1.162,1.232,0.825,0.462,0.083,0.005,1.93129,86,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,0.946,0.11855,0.34612,0.0561,0.11132,-0.05448,-0.00149
Latin America and Caribbean,Argentina,ARG,47,6.086,38747148,1.092,1.432,0.881,0.471,0.066,0.05,2.836,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,-0.488,0.03849,0.18377,0.09377,0.02126,-0.04851,-0.03484
Central and Eastern Europe,Kosovo,OSA,46,6.1,,0.882,1.232,0.758,0.489,0.262,0.006,2.76579,69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,0.511,0.08052,0.42002,0.12668,0.24151,-0.0211,-0.04141
Latin America and Caribbean,Nicaragua,NIC,45,6.105,5462539,0.694,1.325,0.835,0.435,0.2,0.127,2.32407,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,0.277,0.10075,0.18316,0.09186,-0.11975,-0.07815,-0.06617
Central and Eastern Europe,Slovenia,SVN,44,6.118,1999425,1.258,1.523,0.953,0.564,0.144,0.057,1.61583,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,0.27,0.07302,0.24915,0.07963,-0.04455,-0.10928,0.01913
Latin America and Caribbean,Colombia,COL,43,6.125,4494579,0.985,1.41,0.841,0.47,0.099,0.034,2.85737,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,-0.352,0.06639,0.16982,0.15023,-0.06466,-0.08501,-0.0172
Central and Eastern Europe,Lithuania,LTU,42,6.149,3425077,1.238,1.515,0.818,0.291,0.043,0.042,2.44649,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,0.316,0.09077,0.25755,0.08672,0.07758,0.01659,0.03169
Central and Eastern Europe,Uzbekistan,UZB,41,6.174,26593123,0.745,1.529,0.756,0.631,0.322,0.24,2.23741,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,0.171,0.11256,0.18857,0.15828,-0.02721,0.09363,-0.06826
Central and Eastern Europe,Poland,POL,40,6.182,38195558,1.206,1.438,0.884,0.483,0.117,0.05,1.86565,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,0.391,0.08045,0.15852,0.10497,-0.04822,-0.05059,0.00788
,Trinidad & Tobago,TTO,39,6.192,,1.231,1.477,0.713,0.489,0.185,0.016,2.24639,,,,,,,,,,,,,,,
Central and Eastern Europe,Slovakia,SVK,38,6.198,5386995,1.246,1.504,0.881,0.334,0.121,0.014,2.24639,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,0.203,0.07709,0.23401,0.09198,0.01649,-0.04793,-0.02031
Middle East and Northern Africa,Bahrain,BHR,37,6.199,724788,1.362,1.368,0.871,0.536,0.255,0.11,1.73797,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,0.239,0.03824,0.15176,0.12384,0.08108,0.08138,-0.196
Western Europe,Italy,ITA,36,6.223,5864636,1.294,1.488,1.039,0.231,0.158,0.03,2.02518,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,0.275,0.04286,0.29023,0.08454,-0.03136,-0.07023,0.00099
Latin America and Caribbean,El Salvador,SLV,35,6.253,6668356,0.794,1.242,0.789,0.43,0.093,0.074,3.035,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,0.123,0.02946,0.21693,0.11163,0.0265,-0.01392,-0.04376
Southeastern Asia,Singapore,SGP,34,6.262,4327468,1.572,1.463,1.141,0.556,0.271,0.453,1.88501,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,-0.536,0.05014,0.443,0.11575,0.01348,-0.04005,-0.0391
Latin America and Caribbean,Uruguay,URY,33,6.293,3325727,1.124,1.465,0.891,0.523,0.127,0.15,2.32142,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,-0.192,0.06234,0.2561,0.0794,-0.08062,-0.1054,-0.09558
Latin America and Caribbean,Brazil,BRA,32,6.3,186830759,1.004,1.439,0.802,0.39,0.099,0.086,3.26001,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,-0.683,0.02276,0.20613,0.10498,-0.10049,-0.04674,-0.08921
Latin America and Caribbean,Panama,PAN,31,6.321,3231502,1.149,1.442,0.91,0.516,0.109,0.054,2.84848,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,-0.465,0.08547,0.2435,0.11339,-0.0261,-0.13534,-0.0387
Western Europe,Spain,ESP,30,6.354,43397491,1.286,1.484,1.062,0.362,0.153,0.079,2.12367,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,0.025,0.05589,0.17021,0.10638,-0.09751,-0.02927,0.01502
Middle East and Northern Africa,Qatar,QAT,29,6.374,796186,1.684,1.313,0.871,0.555,0.22,0.167,1.55674,28,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,-0.237,-0.00642,0.2344,0.07367,-0.0854,-0.10573,-0.35508
Middle East and Northern Africa,Saudi Arabia,SAU,28,6.375,2361236,1.403,1.357,0.795,0.439,0.08,0.132,2.43872,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,-0.036,0.00759,0.27307,0.07475,0.12852,-0.05706,-0.19324
Latin America and Caribbean,Guatemala,GTM,27,6.436,12709564,0.8,1.269,0.746,0.535,0.175,0.078,2.74255,43,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,0.313,0.05447,0.22544,0.10175,-0.04233,-0.09989,-0.01672
Latin America and Caribbean,Chile,CHL,26,6.444,16295102,1.159,1.369,0.92,0.357,0.187,0.056,2.67585,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,-0.226,0.05185,0.24453,0.06143,-0.08432,-0.14663,-0.07269
Eastern Asia,Taiwan,TWN,25,6.446,23588932,1.368,1.43,0.914,0.351,0.242,0.097,2.32323,38,6.298,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,0.148,0.07702,0.35383,0.0387,-0.0464,-0.01176,0.01571
Western Europe,France,FRA,24,6.592,60990544,1.324,1.472,1.045,0.436,0.111,0.183,2.21126,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,0.017,0.04622,0.21162,0.09921,-0.11411,-0.01232,-0.02346
Latin America and Caribbean,Mexico,MEX,23,6.595,104266392,1.07,1.323,0.861,0.433,0.074,0.073,3.60214,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,-0.592,0.04946,0.40849,0.04656,-0.04881,-0.06674,-0.14012
Western Europe,Malta,MLT,22,6.726,402617,1.3,1.52,0.999,0.564,0.375,0.151,1.6488,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,0.424,0.0926,0.21797,0.11179,-0.03965,-0.14252,0.01514
Middle East and Northern Africa,United Arab Emirates,ARE,21,6.825,4104291,1.503,1.31,0.825,0.598,0.262,0.182,2.24743,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,-0.076,0.07573,0.18425,0.01575,-0.04357,-0.00228,-0.20383
Central and Eastern Europe,Czech Republic,CZE,20,6.852,10191762,1.269,1.487,0.92,0.457,0.046,0.036,2.67782,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,0.347,0.09002,0.28057,0.07517,-0.00664,-0.06086,0.00948
North America,United States,USA,19,6.892,299846449,1.433,1.457,0.874,0.454,0.28,0.128,2.51011,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,-0.227,0.03849,0.20989,0.01221,-0.09204,-0.12105,-0.0309
Western Europe,Belgium,BEL,18,6.923,10398049,1.356,1.504,0.986,0.473,0.16,0.21,2.41484,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,-0.014,0.04818,0.21834,0.08933,-0.1115,-0.0625,-0.0154
Western Europe,Germany,DEU,17,6.985,82652369,1.373,1.454,0.987,0.495,0.261,0.265,2.11569,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,0.235,0.04508,0.15463,0.09514,-0.11977,-0.02114,0.04657
Western Europe,Ireland,IRL,16,7.021,4143294,1.499,1.553,0.999,0.516,0.298,0.31,1.9757,18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,0.081,0.16304,0.18352,0.10367,-0.10177,-0.16101,0.02297
Western Europe,United Kingdom,GBR,15,7.054,60244834,1.333,1.538,0.996,0.45,0.348,0.278,1.96994,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,0.187,0.06663,0.25252,0.08657,-0.14625,-0.17112,-0.04267
Western Europe,Luxembourg,LUX,14,7.09,456613,1.609,1.479,1.012,0.526,0.194,0.316,1.96961,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,0.144,0.04509,0.25937,0.09306,-0.08983,-0.08634,-0.06198
Middle East and Northern Africa,Israel,ISR,13,7.139,6692037,1.276,1.455,1.029,0.371,0.261,0.082,3.08854,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,-0.139,0.04743,0.23107,0.11513,-0.04219,-0.07072,0.00415
Latin America and Caribbean,Costa Rica,CRI,12,7.167,4327228,1.034,1.441,0.963,0.558,0.144,0.093,3.17728,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,-0.059,0.07822,0.20312,0.10273,-0.07576,-0.11097,-0.01283
Australia and New Zealand,Australia,AUS,11,7.228,20310208,1.372,1.548,1.036,0.557,0.332,0.29,2.26646,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,-0.056,0.03842,0.23877,0.10444,-0.09424,-0.10362,-0.06637
Western Europe,Austria,AUT,10,7.246,8291979,1.376,1.475,1.016,0.532,0.244,0.226,2.5332,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,0.046,0.03877,0.17796,0.12558,-0.09233,-0.08688,0.03924
North America,Canada,CAN,9,7.278,32270507,1.365,1.505,1.039,0.584,0.285,0.308,2.45176,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,-0.149,0.03871,0.18239,0.13337,-0.04897,-0.17311,-0.02157
Australia and New Zealand,New Zealand,NZL,8,7.307,4097112,1.303,1.557,1.026,0.585,0.33,0.38,2.26425,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,0.021,0.05282,0.23733,0.11763,-0.05438,-0.14501,-0.04922
Western Europe,Sweden,SWE,7,7.343,9038049,1.387,1.487,1.009,0.574,0.267,0.373,2.37119,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,-0.021,0.05529,0.19793,0.09813,-0.0858,-0.09562,-0.06544
Western Europe,Switzerland,CHE,6,7.48,7424389,1.452,1.526,1.052,0.572,0.263,0.343,2.51738,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,-0.107,0.05549,0.17649,0.11057,-0.09357,-0.03378,-0.07678
Western Europe,Netherlands,NLD,5,7.488,1632769,1.396,1.522,0.999,0.557,0.322,0.298,2.4657,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,0.11,0.06656,0.24183,0.10616,-0.05876,-0.1541,-0.02014
Western Europe,Iceland,ISL,4,7.494,295732,1.38,1.624,1.026,0.591,0.354,0.118,2.70201,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,-0.067,0.07768,0.22177,0.07816,-0.03777,-0.0823,-0.02345
Western Europe,Norway,NOR,3,7.554,4638836,1.488,1.582,1.028,0.603,0.271,0.341,2.46531,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,0.032,0.029,0.25105,0.14279,-0.06673,-0.07599,-0.02403
Western Europe,Denmark,DNK,2,7.6,5416945,1.383,1.573,0.996,0.592,0.252,0.41,2.49204,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,0.073,0.05752,0.21242,0.12136,-0.05738,-0.08939,-0.07357
Western Europe,Finland,FIN,1,7.769,5246004,1.34,1.587,0.986,0.596,0.153,0.393,2.61955,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,0.363,0.04975,0.26874,0.09689,-0.04569,-0.08051,-0.02072
