region,country,code,rank,score,total_population,gdp,social,health,freedom,generosity,corruption,dystopia,rank_old,score_old,gdp_old,social_old,health_old,freedom_old,corruption_old,generosity_old,score_change,gdp_change,social_change,health_change,freedom_change,generosity_change,corruption_change
Central and Eastern Europe,Ukraine,UKR,133,4.332,46917544,0.82,1.39,0.739,0.178,0.187,0.01,1.5714,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,-0.349,0.02093,0.18722,0.0651,-0.07323,0.03425,-0.01961
Sub-Saharan Africa,Chad,TCD,132,4.35,10145609,0.35,0.766,0.192,0.174,0.198,0.078,1.94296,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,0.683,0.00807,0.00538,0.0419,-0.06101,0.01414,0.02531
Southeastern Asia,Myanmar,MMR,131,4.36,,0.71,1.181,0.555,0.525,0.566,0.172,1.41805,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,0.053,0.43892,0.47195,0.07254,0.08483,-0.22988,-0.01834
Southern Asia,Sri Lanka,LKA,130,4.366,19120763,0.949,1.265,0.831,0.47,0.244,0.047,0.67108,132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.095,0.11376,0.24595,0.12294,-0.06726,-0.16428,-0.04479
Sub-Saharan Africa,Sierra Leone,SLE,129,4.374,5586403,0.268,0.841,0.242,0.309,0.252,0.045,2.51009,123,4.507,0.33024,0.95571,0,0.4084,0.08786,0.21488,-0.133,-0.06224,-0.11471,0.242,-0.0994,0.03712,-0.04286
Sub-Saharan Africa,Mali,MLI,128,4.39,1161109,0.385,1.105,0.308,0.327,0.153,0.052,1.79293,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,0.395,0.12426,0.06974,0.10217,-0.06157,-0.03498,-0.07152
Sub-Saharan Africa,Congo (Kinshasa),COG,127,4.418,,0.094,1.125,0.357,0.269,0.212,0.053,2.86712,120,4.517,0,1.0012,0.09806,0.22605,0.07625,0.24834,-0.099,0.094,0.1238,0.25894,0.04295,-0.03634,-0.02325
Middle East and Northern Africa,Iraq,IRQ,126,4.437,27995984,1.043,0.98,0.574,0.241,0.148,0.089,1.95335,112,4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922,-0.24,0.05751,0.16111,-0.02837,0.241,-0.03122,-0.04888
Southern Asia,Bangladesh,BGD,125,4.456,15328112,0.562,0.928,0.723,0.527,0.166,0.143,2.51767,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,-0.238,0.16447,0.49694,0.12136,0.1188,-0.04622,0.01731
Middle East and Northern Africa,Tunisia,TUN,124,4.461,10104685,0.921,1,0.815,0.167,0.059,0.055,2.12466,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,-0.278,0.03987,0.39571,0.07707,-0.09568,-0.00531,-0.00858
